cookie,time,interaction,conversion,conversion_value,channel
CjwKCAjwi8iXBhBeEiwAKbUofQz5HGVUIvEGh3uKTAC0EBWsnt9b6B5ZNh3Z_bj1qzGGEAZJmPxhBhoC3h8QAvD_BwE,1660055457,Purchase,1,3752,google
CjwKCAjwi8iXBhBeEiwAKbUofSigAVap5Mf1YyGwPXib5zeL9YO-1gI2zbSDAx32nVuLXk0cB6M5sBoCiAcQAvD_BwE,1660057483,MemberRegistration,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrAodEdjCBwBa2ekcMr1ONJ9VQTjqM7stDf8N4__ZT4oePZJzh5yAnMBoCuf4QAvD_BwE,1660061559,ViewContent,0,0,google
CjwKCAjw3K2XBhAzEiwAmmgrAodEdjCBwBa2ekcMr1ONJ9VQTjqM7stDf8N4__ZT4oePZJzh5yAnMBoCuf4QAvD_BwE,1660061636,ViewContent,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofQztULqHD5WdtLdxGjrYfgfGwM3qT3APFKLOT4rxSpabf0TJQePI0BoC5AcQAvD_BwE,1660065274,ViewContent,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofQztULqHD5WdtLdxGjrYfgfGwM3qT3APFKLOT4rxSpabf0TJQePI0BoC5AcQAvD_BwE,1660065379,ViewContent,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofQztULqHD5WdtLdxGjrYfgfGwM3qT3APFKLOT4rxSpabf0TJQePI0BoC5AcQAvD_BwE,1660065426,ViewContent,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofQztULqHD5WdtLdxGjrYfgfGwM3qT3APFKLOT4rxSpabf0TJQePI0BoC5AcQAvD_BwE,1660065453,ViewContent,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofQztULqHD5WdtLdxGjrYfgfGwM3qT3APFKLOT4rxSpabf0TJQePI0BoC5AcQAvD_BwE,1660065474,ViewContent,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofSlBOOFDCTNIoOaa92b6-toDVlkrnSpl32yn9BnNmXQqSWakzVZyRRoCGocQAvD_BwE,1660091960,ViewContent,0,0,google
